S.No,Course Name,Timing
2,MINOR PROJECT-AMD897,
3,APPLIED COMPUTATIONAL METHOD-AML702,TWF 09:00-10:00
4,FINITE ELEMENT METHODS & ITS APPL.TO MARINE STRU.-AML706,TWF 10:00-11:00
5,STRUCTURAL DESIGN OF SHIPS.-AML792,MTF 12:00-13:00
6,SUBMARINE DESIGN-AML795,TThF 11:00-12:00
7,B.TECH PROJECT II-APD412,
8,MAJOR PROJECT PART-I-APD811,
9,MS RESEARCH PROJECT-APD895,
10,ENGINEERING MECHANICS-APL100,MTh 08:00-09:30
11,ENGINEERING MECHANICS-APL100,MTh 14:00-15:30
12,EXPERIMENTAL METHODS-APL103,TWF 10:00-11:00
13,MECHANICS OF SOLIDS AND FLUIDS-APL105,MTh 08:00-09:30
14,ENGINEERING THERMODYNAMICS-APL206,"MW 11:00-12:00 ,Th 12:00-13:00"
15,VIBRATION-APL306,TThF 11:00-12:00
16,INTRODUCTION TO FINITE ELEMENT METHOD-APL311,TWF 08:00-09:00
17,INTRODUCTION TO COMPUTATIONAL FLUID DYNAMICS-APL321,TWF 09:00-10:00
18,ADVANCED MECHANICS OF SOLIDS-APL331,MTF 12:00-13:00
19,MACHINE LEARNING IN MECHANICS-APL405,TThF 11:00-12:00
20,ADVANCED CFD-APL422,MTh 09:30-11:00
21,FINITE ELEMENT METHOD-APL705,MTh 08:00-09:30
22,COMPUTER AIDED DESIGN-APL710,TWF 09:00-10:00
23,ADVANCED FLUID MECHANICS-APL711,MTF 12:00-13:00
24,TURBULENCE AND ITS MODELING-APL713,"MW 11:00-12:00 ,Th 12:00-13:00"
25,COMPUTATIONAL FLUID DYNAMICS-APL720,MTh 08:00-09:30
26,DEEP LEARNING FOR MECHANICS-APL745,TWF 10:00-11:00
27,ENVIRONMENTAL FLUID DYNAMICS-APL746,
28,MODELING AND ANALYSIS-APL774,MTh 17:00-18:30
29,PROCDUCT DESIGN AND FEASIBILITY STUDY-APL776,TWF 08:00-09:00
30,FATIGUE FAILURE AND DESIGN-APL787,
31,ADVANCED SOLID MECHANICS-APL796,"MW 11:00-12:00 ,Th 12:00-13:00"
32,MECHANICS OF COMPOSITE MATERIALS-APL835,MTF 12:00-13:00
33,MAJOR PROJECT (MSR)-BSD895,
34,STANDARDS - APPRECIATION OF STANDARDS-BSV711,
35,MINOR PROJECT-JTD792,
36,MAJOR PROJECT PART-II-JTD802,
37,MAJOR PROJECT PART 2 (BB1)-BBD452,
38,MTP PART-II-BBD856,
39,MAJOR PROJECT (MSR)-BBD895,
40,PHYSICAL AND CHEMICAL PROPERTIES OF BIOMOLECULES-BBL342,"MW 11:00-12:00 ,Th 12:00-13:00"
41,BIOPROCESS TECHNOLOGY-BBL431,TWF 10:00-11:00
42,FLUID SOLID SYSTEMS-BBL432,"MW 11:00-12:00 ,Th 12:00-13:00"
43,ENZYME SCIENCE AND ENGINEERING-BBL433,TWF 09:00-10:00
44,BIOINFORMATICS-BBL434,TThF 11:00-12:00
45,BIOSEPARATION ENGINEERING-BBL731,TThF 11:00-12:00
46,DYNAMICS OF MICROBIAL SYSTEMS-BBL736,MTF 12:00-13:00
47,BIOLOGICAL WASTE TREATMENT-BBL742,MTh 15:30-17:00
48,CURRENT TOPICS IN BIOCHEMICALENGINEERING AND BIOTE-BBL746,"MW 11:00-12:00 ,Th 12:00-13:00"
49,BIONANOTECHNOLOGY-BBL747,MTh 09:30-11:00
50,ELECTROMICROBIOLOGY AND BIOELECTROCHEMICAL SYSTEMS-BBL757,MTh 15:30-17:00
51,BIOMOLECULAR ENGINEERING-BBL774,TWF 09:00-10:00
52,BIOREACTION ENGINEERING-BBL775,MTh 09:30-11:00
53,SEMINAR COURSE - I-BBQ301,
54,SEMINAR COURSE - II-BBQ302,
55,AGRICULTURE SUSTAINABILITY THROUGH PLANT-ASSOCIATED MICROBIOMES-BBV752,"W 12:00-13:00 ,TF 17:00-18:00"
56,MINOR PROJECT-JCD891,
57,M.TECH. PROJECT PART-I-JCD892,
58,MINOR PROJECT-CRD802,
59,MAJOR PROJECT PART-I-CRD811,
60,MAJOR PROJECT PART 2-CRD812,
61,MAJOR PROJECT-III-CRD814,
62,ARCHITECTURES AND ALGORITHMS FOR DSP SYSTEMS-CRL702,TWF 10:00-11:00
63,SENSOR ARRAY SIGNAL PROCESSING-CRL704,
64,SONAR SYSTEMS ENGINEERING-CRL708,MTF 12:00-13:00
65,RF AND MICROWAVE ACTIVE CIRCUITS-CRL712,MTh 08:00-09:30
66,RF AND MICROWAVE SOLID STATE DEVICES-CRL722,
67,RF AND MICROWAVE MEASUREMENT SYSTEM TECHNIQUES-CRL724,MTh 09:30-11:00
68,RF MEMS DESIGN AND TECHNOLOGY-CRL726,
69,SELECTED TOPICS IN RFDT-I-CRL731,
70,SELECTED TOPICS IN RFDT-III-CRL733,
71,MINOR AREA PROJECT-ASD390,
72,PROJECT-II-ASD882,
73,MS RESEARCH PROJECT-ASD895,
74,"CLIMATE CHANGE: IMPACTS, ADAPTATION & MITIGATION-ASL320",TThF 11:00-12:00
75,INTRODUCTION TOOCEANOGRAPHY-ASL350,MTF 12:00-13:00
76,FUNDAMENTALS OF AIR POLLUTION SCIENCE-ASL385,MTh 17:00-18:30
77,SCIENCE OF CLIMATE CHANGE-ASL736,MTF 12:00-13:00
78,PHYSICAL AND DYNAMICAL OCEANOGRAPHY-ASL737,TWF 09:00-10:00
79,NUMERICAL MODELING OF THE ATMOSPHERE AND OCEAN-ASL738,MTh 14:00-15:30
80,DISPERSION OF AIR POLLUTANTS-ASL751,TThF 11:00-12:00
81,CLOUD PHYSICS-ASL754,MTh 09:30-11:00
82,TROPICAL WEATHER AND CLIMATE-ASL757,"MW 11:00-12:00 ,Th 12:00-13:00"
83,AIR-SEA INTERACTION-ASL762,TWF 10:00-11:00
84,IMPACTS OF CLIMATE CHANGE AND AIR POLLUTION ON HUMAN HEALTH-ASL765,MTh 08:00-09:30
85,SPECIAL TOPICS IN CLIMATE-ASL851,
86,SPECIAL TOPICS IN AIR POLLUTION STUDIES-ASL854,
87,ADVANCED DATA ANALYSIS FOR WEATHER AND CLIMATE-ASP820,TWF 10:00-11:00
88,MAJOR PROJECT PART-II-CTD802,
89,MS RESEARCH PROJECT-CTD895,
90,BATTERIES FOR ELECTRIC VEHICLES: MULTIDISCIPLINARY PERSPECTIVES-CTL707,TWF 10:00-11:00
91,EMBEDDED SYSTEMS FOR AUTOMOTIVE SECTOR-CTL711,MTh 14:00-15:30
92,POWER ELECTRONICS AND DRIVES FOR ELECTRIC VEHICLES-CTL717,MTh 08:00-09:30
93,AUTOMOTIVE NOISE AND CONDITION MONITORING-CTL731,TThF 11:00-12:00
94,ADVANCED VEHICLE PROPULSION-CTL732,TF 14:00-15:30
95,DESIGN OF MOTORS FOR AUTOMOTIVE APPLICATION-CTL736,MTh 09:30-11:00
96,ELECTRIC VEHICLE LABORATORY 2-CTP704,MTh 15:30-17:00
97,MAJOR PROJECT-2-BMD802,
98,INTRODUCTION TO HEALTHCARE ENGINEERING-BML300,"MW 11:00-12:00 ,Th 12:00-13:00"
99,CHEMISTRY FOR HUMAN HEALTH: PRINCIPLES AND APPLICATIONS-BML706,
100,BIOMEDICAL SIGNAL AND IMAGE PR-BML735,TF 14:00-15:30
101,BIOMEDICAL DATA ANALYSIS-BML738,"MW 11:00-12:00 ,Th 12:00-13:00"
102,BIOMEDICAL INSTRUMENTATION-BML740,TThF 11:00-12:00
103,"BIOMEDICAL ETHICS, SAFETY AND REGULATORY AFFAIRS-BML760",MTh 09:30-11:00
104,SOFT TISSUE CHARACTERIZATION AND APPLICATIONS-BML774,
105,ORTHOPEDIC DEVICE DESIGN AND PROTOTYPING-BML781,MTF 12:00-13:00
106,TISSUE ENGINEERING-BML810,TF 15:30-17:00
107,BIOMATERIALS-BML820,TF 14:00-15:30
108,NANOMEDICINE-BML860,MTF 12:00-13:00
109,MICRO-NANODEVICES FOR HEALTHCARE TECHNOLOGY-BML890,MTh 17:00-18:30
110,BASIC BIOMEDICAL LABORATORY-BMP743,
111,GRADUATE STUDENT RESEARCH SEMINAR-BMQ706,
112,BASIC MATHEMATICS FOR BIOLOGISTS-BMV702,TWF 10:00-11:00
113,MECHANICS OF BIOMATERIALS-BMV705,
114,BIOMAS PRODUCTION-RDL700,TWF 08:00-09:00
115,KARIGAR & TRADITIONAL INDUSTRIES-RDL702,MTh 17:00-18:30
116,RURAL INDIA AND PLANNING FOR DEVELOPMENT-RDL710,MTh 08:00-09:30
117,ECOLOGICAL PERSPECTIVE OF GROWTH AND DEVLOPMENT-RDL725,MTh 14:00-15:30
118,"HERBAL,MEDICINAL ANDAROMATIC PRODUCTS-RDL726",MTh 17:00-18:30
119,CONSERVATION AND RECYCLING PRACTICES IN RURAL AREAS-RDL727,MTh 14:00-15:30
120,RURAL ENERGY ASSESSMENT AND PLANNING-RDL728,MTF 12:00-13:00
121,TECHNOLOGY OF UTILIZATION OF WASTELANDS & WEEDS-RDL740,MTh 14:00-15:30
122,VALUE CHAIN IN AGRO-FOOD PROCESSING-RDL761,"W 12:00-13:00 ,TF 17:00-18:00"
123,RURAL VALUE CHAIN FOR HOLISTIC DEVELOPMENT-RDL770,MTh 09:30-11:00
124,NANOTECHNOLOGY FOR SAFE AND SUSTAINABLE AGRICULTURE-RDL771,TThF 11:00-12:00
125,SEMINAR COURSE-V-RDQ305,
126,B. TECH. PROJECT-CLD411,
127,MAJOR PROJECT IN ENERGY & ENV.-CLD412,
128,MAJOR PROJECT IN COMPLEX FLUID-CLD413,
129,"MAJOR PROJ. IN P.E, MOD. & OP.-CLD414",
130,MAJOR PROJ IN BIOP. & FINE CH.-CLD415,
131,MINOR PROJECT-CLD771,
132,MAJOR PROJECT - I-CLD781,
133,MAJOR PROJECT - II-CLD782,
134,MINOR PROJECT-CLD880,
135,MAJOR PROJECT PARTI-CLD881,
136,MAJOR PROJECT PARTII-CLD882,
137,M.S.R. MAJOR PROJECT-CLD895,
138,CHEMICAL ENGG. THERMODYNAMICS-CLL121,TThF 11:00-12:00
139,CHEMICAL REACTION ENGG I-CLL122,TWF 09:00-10:00
140,FLUID MECHS. FOR CHEM. ENGINEE-CLL231,MTh 08:00-09:30
141,HEAT TRANSFER FOR CHEMICAL ENG-CLL251,MTh 09:30-11:00
142,INTRO TO INDUSTRIAL BIOTECH.-CLL271,TWF 09:00-10:00
143,MASS TRANSFER II-CLL352,MTh 09:30-11:00
144,INSTRUMENTATION AND AUTOMATION-CLL361,TWF 08:00-09:00
145,CHEM. PROCESS TECH.& ECONOMICS-CLL371,TWF 10:00-11:00
146,SAFETY & HAZARDS IN PROC. IND.-CLL475,MTh 09:30-11:00
147,MODELLING OF TRANSPORT PROCESS-CLL701,MTF 12:00-13:00
148,PRINCIPLES OF ELECTROCH. ENGG.-CLL720,MTh 15:30-17:00
149,HYDROGEN EN. & FUEL CELL TECH.-CLL723,MTh 09:30-11:00
150,ADVANCED TRANSPORT PHENOMENA-CLL731,"W 12:00-13:00 ,TF 17:00-18:00"
151,INDUSTRIAL MULTIPHASE REACTORS-CLL733,"MW 11:00-12:00 ,Th 12:00-13:00"
152,CHEMICAL ENGG. MATHEMATICS-CLL761,TThF 11:00-12:00
153,INTERFACIAL ENGINEERING-CLL766,TThF 11:00-12:00
154,FUNDAMENTALS OF COMP. FLUID DY-CLL768,TWF 10:00-11:00
155,PROCESS DATA ANALYTICS-CLL788,MTh 15:30-17:00
156,MEMBRANE SCIENCE & ENGINEERING-CLL793,TThF 11:00-12:00
157,"SELECTED TOPICS IN CHEMICAL ENGINEERING-I (CARBON CAPTURE, UTILIZATION, AND STORAGE)-CLL798B",TWF 10:00-11:00
